2026-08-02 09:48:43 upgrade samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.1 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:43 status half-configured samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:43 status unpacked samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:43 status half-installed samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 upgrade python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status half-configured python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status half-installed python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 upgrade python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status half-configured python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status half-installed python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 upgrade tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status half-configured tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status half-installed tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.1
2026-08-02 09:48:44 status unpacked tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 startup packages configure
2026-08-02 09:48:44 configure libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:44 status unpacked libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status half-configured libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status installed libtdb1:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 configure samba-common:all 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:44 status unpacked samba-common:all 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:44 status half-configured samba-common:all 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed samba-common:all 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed libwbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed libtalloc2:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed python3-tdb:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed tdb-tools:amd64 2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed libtevent0t64:amd64 2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed python3-talloc:amd64 2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure libldb2:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2 <none>
